fecha;LTM CI Equity;SQM/B CI Equity;COPEC CI Equity;SALFACORP CI Equity;VAPORES CI Equity;CAP CI Equity;BSAN CI Equity;CMPC CI Equity;FALAB CI Equity
02-03-2020;5550,1;23000;6600;401,7;23,2;4869;37,22;1685;2915
03-03-2020;5475;23200;6600;409,99;23,49;4898;37,43;1690,1;2869
04-03-2020;5710;24055;6750;400,58;23,48;4846,6;38,3;1740;2880
05-03-2020;5600;23700;6700,2;397,04;23,46;4700;38,14;1700;2840
06-03-2020;5315;22502;6599,4;390;23,52;4729,5;36,91;1681;2722,1
09-03-2020;4875;20741;6250;376;23,19;4498;34,6;1575;2600
10-03-2020;5070;21020;6325;386;23,39;4626;35,3;1600;2570
11-03-2020;4700;20002;6265;384;23,26;4500;35;1572;2535
12-03-2020;3950;18800;5721;355,92;22,9;4150;33,3;1500;2421
13-03-2020;4079,9;18700;5816,1;366,5;22,89;4300;33,81;1542;2390
16-03-2020;3000;15710;5099,7;336,47;20,5;3500;29,5;1325;1920
17-03-2020;2770;16220;4850;332,94;20,5;3450,3;31,05;1371,1;1880
18-03-2020;1551;14000;4401;283,15;13,8;2501,1;28,75;1225;1678,9
19-03-2020;1804;14861;4411;270;14,1;2750,1;29,3;1300;1670
20-03-2020;2076,5;14000;4250;266,89;14,09;2800;30,9;1286,2;1730
23-03-2020;2230;13901;4100,1;257,68;12;2599;29,55;1280;1530
24-03-2020;1950;15750;4100;260;12,2;2800;26,75;1328,5;1530
25-03-2020;2349;18110;4430;250;13,73;3200,1;28,61;1430;1580
26-03-2020;2340;18500;4530;260,04;15,36;3275;29;1540;1581
27-03-2020;2250;17505;4800;251,35;16,02;3200;29,28;1650;1590
30-03-2020;2311;18900;4945;257;16,65;3500;30,9;1740;1656
31-03-2020;2200;19540;4900,1;280;17,02;3671;33;1829;1886
01-04-2020;2000;18375;4840;273,5;16,72;3620;33,15;1740;1820
02-04-2020;2080;18900;5299,9;291;17,55;3740;35,4;1774,9;1932,1
03-04-2020;2101;18613;5439;295,23;17,33;3696,2;35,3;1748;1928
06-04-2020;2199,1;18750;5430;310;17,5;3950;36,3;1720;1998
07-04-2020;2199,1;18860;5100;322;17;3815;35,98;1616;1975
08-04-2020;2519,7;19203;5056;363,86;17,2;3881,6;35,05;1660,2;2000,1
09-04-2020;2841;19299;5190,5;358;17,5;3980;35,3;1621,1;2100
10-04-2020;2841;19299;5190,5;358;17,5;3980;35,3;1621,1;2100
13-04-2020;2800;19198;5299;344,92;17,41;3924;35,48;1669,9;2099
14-04-2020;3030;19600;5400;364;17,7;3970,1;34,86;1708,5;2215
15-04-2020;2961;19000;5280;364;17,7;3871;33,59;1675;2210
16-04-2020;2935;18403;5100;354,19;17,61;3900;32,01;1655;2156
17-04-2020;3169;18965;5121;357,71;17,7;3950;32,8;1635,3;2200
20-04-2020;3050;18650;4970;356,65;17,72;3866;31,94;1590;2149,7
21-04-2020;2901;17990;4852;334,78;17,7;3700;31,1;1569;2065
22-04-2020;2921;18790;4920;334,99;18,1;3700;31,3;1575;2050
23-04-2020;3069,8;18646;5149;346,68;19,15;3925;31,29;1658;2083
