01-2015;34.904,99
04-2015;36.188,63
07-2015;34.529,93
10-2015;37.921,05
01-2016;35.940,94
04-2016;36.646,95
07-2016;35.144,46
10-2016;38.268,42
01-2017;35.802,41
04-2017;36.796,86
07-2017;35.812,92
10-2017;39.318,02
01-2018;37.401,43
04-2018;38.607,91
07-2018;36.671,50
10-2018;40.535,87
01-2019;37.818,34
04-2019;39.177,30
07-2019;37.919,67
10-2019;39.744,71
01-2020;37.884,48
04-2020;33.595,08
07-2020;34.507,35
10-2020;39.746,90
